server_name,address,protocol,port,status,response_time_ms,total_duration_ms,message
Lab Gateway,192.0.2.1,tcp,53,OPEN,1,7,
Lab Gateway,192.0.2.1,tcp,80,OPEN,2,7,
Lab Gateway,192.0.2.1,tcp,443,OPEN,1,7,
Raspberry Pi Test Node,192.0.2.10,tcp,22,OPEN,0,4,
Raspberry Pi Test Node,192.0.2.10,tcp,80,OPEN,0,4,
Raspberry Pi Test Node,192.0.2.10,tcp,443,CLOSED,0,4,
Raspberry Pi Test Node,192.0.2.10,tcp,8080,CLOSED,0,4,
Test Workstation,192.0.2.30,tcp,135,TIMEOUT,1000,1008,
Test Workstation,192.0.2.30,tcp,139,TIMEOUT,1000,1008,
Test Workstation,192.0.2.30,tcp,445,TIMEOUT,1000,1008,
Test Workstation,192.0.2.30,tcp,3389,TIMEOUT,1000,1008,
