server_name,address,protocol,port,status,response_time_ms,total_duration_ms,message
FritzBox Router,192.168.178.1,tcp,53,OPEN,2,8,
FritzBox Router,192.168.178.1,tcp,80,OPEN,1,8,
FritzBox Router,192.168.178.1,tcp,443,OPEN,2,8,
Raspberry Pi Monitoring Node,192.168.178.107,tcp,22,OPEN,0,2,
Raspberry Pi Monitoring Node,192.168.178.107,tcp,80,OPEN,0,2,
Raspberry Pi Monitoring Node,192.168.178.107,tcp,443,CLOSED,0,2,
Raspberry Pi Monitoring Node,192.168.178.107,tcp,8080,CLOSED,0,2,
Windows PC,192.168.178.30,tcp,135,TIMEOUT,1000,1007,
Windows PC,192.168.178.30,tcp,139,TIMEOUT,1000,1007,
Windows PC,192.168.178.30,tcp,445,TIMEOUT,1000,1007,
Windows PC,192.168.178.30,tcp,3389,TIMEOUT,1001,1007,
